DATE1, DATE2, X, Y, Z,
2456379.500000000, A.D. 2013-Mar-28 00:00:00.0000, -4.362439110561168E+04, -2.730448964571130E+05, -2.221393231715962E+05,
2456379.541666667, A.D. 2013-Mar-28 01:00:00.0000, -5.723041072306480E+04, -2.763631367034216E+05, -2.148267919863106E+05,
2456379.583333333, A.D. 2013-Mar-28 02:00:00.0000, -7.072287391258738E+04, -2.791330438587466E+05, -2.070880080686941E+05,
2456379.625000000, A.D. 2013-Mar-28 03:00:00.0000, -8.407500999329136E+04, -2.813491214283594E+05, -1.989383258989353E+05,
2456379.666666667, A.D. 2013-Mar-28 04:00:00.0000, -9.726032665299237E+04, -2.830069717304859E+05, -1.903939152596395E+05,
2456379.708333333, A.D. 2013-Mar-28 05:00:00.0000, -1.102526625093115E+05, -2.841033046281276E+05, -1.814717291601949E+05,
2456379.750000000, A.D. 2013-Mar-28 06:00:00.0000, -1.230262390151614E+05, -2.846359440640287E+05, -1.721894702069043E+05,
2456379.791666667, A.D. 2013-Mar-28 07:00:00.0000, -1.355557116056583E+05, -2.846038323857308E+05, -1.625655554855017E+05,
2456379.833333333, A.D. 2013-Mar-28 08:00:00.0000, -1.478162199849889E+05, -2.840070324520308E+05, -1.526190800256272E+05,
2456379.875000000, A.D. 2013-Mar-28 09:00:00.0000, -1.597834374534537E+05, -2.828467275165513E+05, -1.423697789196537E+05,
2456379.916666667, A.D. 2013-Mar-28 10:00:00.0000, -1.714336191767952E+05, -2.811252188885441E+05, -1.318379881709389E+05,
2456379.958333333, A.D. 2013-Mar-28 11:00:00.0000, -1.827436493020046E+05, -2.788459213754486E+05, -1.210446043491036E+05,
2456380.000000000, A.D. 2013-Mar-28 12:00:00.0000, -1.936910868260720E+05, -2.760133565161324E+05, -1.100110431323164E+05,
2456380.041666667, A.D. 2013-Mar-28 13:00:00.0000, -2.042542101266090E+05, -2.726331436181217E+05, -9.875919681878437E+04,
2456380.083333333, A.D. 2013-Mar-28 14:00:00.0000, -2.144120600659118E+05, -2.687119886164943E+05, -8.731139089170756E+04,
2456380.125000000, A.D. 2013-Mar-28 15:00:00.0000, -2.241444815828549E+05, -2.642576707764284E+05, -7.569033972384456E+04,
2456380.166666667, A.D. 2013-Mar-28 16:00:00.0000, -2.334321636899941E+05, -2.592790272656900E+05, -6.391910150955885E+04,
2456380.208333333, A.D. 2013-Mar-28 17:00:00.0000, -2.422566777964143E+05, -2.537859356275748E+05, -5.202103251376090E+04,
2456380.250000000, A.D. 2013-Mar-28 18:00:00.0000, -2.506005142801738E+05, -2.477892941889932E+05, -4.001974072853025E+04,
2456380.291666667, A.D. 2013-Mar-28 19:00:00.0000, -2.584471172376643E+05, -2.413010004424975E+05, -2.793903902939039E+04,
2456380.333333333, A.D. 2013-Mar-28 20:00:00.0000, -2.657809173408214E+05, -2.343339274450799E+05, -1.580289792421469E+04,
2456380.375000000, A.D. 2013-Mar-28 21:00:00.0000, -2.725873627368726E+05, -2.269018982805178E+05, -3.635397988562519E+03,
2456380.416666667, A.D. 2013-Mar-28 22:00:00.0000, -2.788529479291970E+05, -2.190196586358983E+05,  8.539317918122733E+03,
2456380.458333333, A.D. 2013-Mar-28 23:00:00.0000, -2.845652405818772E+05, -2.107028475467085E+05,  2.069709256057605E+04,
2456380.500000000, A.D. 2013-Mar-29 00:00:00.0000, -2.897129061946504E+05, -2.019679663685248E+05,  3.281380226490092E+04,
2456380.541666667, A.D. 2013-Mar-29 01:00:00.0000, -2.942857305991962E+05, -1.928323460368697E+05,  4.486540478968912E+04,
2456380.583333333, A.D. 2013-Mar-29 02:00:00.0000, -2.982746402320315E+05, -1.833141126802089E+05,  5.682798703599643E+04,
2456380.625000000, A.D. 2013-Mar-29 03:00:00.0000, -3.016717201437005E+05, -1.734321516543483E+05,  6.867781250141643E+04,
2456380.666666667, A.D. 2013-Mar-29 04:00:00.0000, -3.044702297084543E+05, -1.632060700696280E+05,  8.039136838399837E+04,
2456380.708333333, A.D. 2013-Mar-29 05:00:00.0000, -3.066646160031850E+05, -1.526561578853183E+05,  9.194541224244908E+04,
2456380.750000000, A.D. 2013-Mar-29 06:00:00.0000, -3.082505248290190E+05, -1.418033476484717E+05,  1.033170181199392E+05,
2456380.791666667, A.D. 2013-Mar-29 07:00:00.0000, -3.092248093536639E+05, -1.306691729571839E+05,  1.144836220399001E+05,
2456380.833333333, A.D. 2013-Mar-29 08:00:00.0000, -3.095855363573380E+05, -1.192757257307569E+05,  1.254230667834474E+05,
