DATE1, DATE2, X, Y, Z,
2447762.833333333, A.D. 1989-Aug-24 08:00:00.0000, -5.498320478850148E+05,  1.148573109648929E+06, -1.774137356762991E+04,
2447762.875000000, A.D. 1989-Aug-24 09:00:00.0000, -5.224391220723006E+05,  1.093642745603855E+06, -1.485078757493746E+04,
2447762.916666667, A.D. 1989-Aug-24 10:00:00.0000, -4.950201722059393E+05,  1.038657899396337E+06, -1.195946359325215E+04,
2447762.958333333, A.D. 1989-Aug-24 11:00:00.0000, -4.675723940233401E+05,  9.836125589316911E+05, -9.067445456623591E+03,
2447763.000000000, A.D. 1989-Aug-24 12:00:00.0000, -4.400925007497800E+05,  9.284996512089480E+05, -6.174807638626526E+03,
2447763.041666667, A.D. 1989-Aug-24 13:00:00.0000, -4.125766050196639E+05,  8.733107756173958E+05, -3.281668938385886E+03,
2447763.083333333, A.D. 1989-Aug-24 14:00:00.0000, -3.850200621515829E+05,  8.180358473868526E+05, -3.882128799508654E+02,
2447763.125000000, A.D. 1989-Aug-24 15:00:00.0000, -3.574172584742978E+05,  7.626626120896384E+05,  2.505281293815278E+03,
2447763.166666667, A.D. 1989-Aug-24 16:00:00.0000, -3.297613197424400E+05,  7.071759706078389E+05,  5.398390463180408E+03,
2447763.208333333, A.D. 1989-Aug-24 17:00:00.0000, -3.020437003200547E+05,  6.515570178065824E+05,  8.290470809448274E+03,
2447763.250000000, A.D. 1989-Aug-24 18:00:00.0000, -2.742535891311614E+05,  5.957816348942830E+05,  1.118053139796211E+04,
2447763.291666667, A.D. 1989-Aug-24 19:00:00.0000, -2.463770242028028E+05,  5.398183598756988E+05,  1.406701830523172E+04,
2447763.333333333, A.D. 1989-Aug-24 20:00:00.0000, -2.183955246687940E+05,  4.836250380140814E+05,  1.694742912155866E+04,
2447763.375000000, A.D. 1989-Aug-24 21:00:00.0000, -1.902838843096755E+05,  4.271432987044444E+05,  1.981758575037951E+04,
2447763.416666667, A.D. 1989-Aug-24 22:00:00.0000, -1.620064202980337E+05,  3.702888988384996E+05,  2.267016499953410E+04,
2447763.458333333, A.D. 1989-Aug-24 23:00:00.0000, -1.335101613418156E+05,  3.129335284337340E+05,  2.549145421624322E+04,
2447763.500000000, A.D. 1989-Aug-25 00:00:00.0000, -1.047113857004204E+05,  2.548669593194907E+05,  2.825328337371044E+04,
2447763.541666667, A.D. 1989-Aug-25 01:00:00.0000, -7.546586781759380E+04,  1.957066104395708E+05,  3.088926925508224E+04,
2447763.583333333, A.D. 1989-Aug-25 02:00:00.0000, -4.549256572542554E+04,  1.346311870065953E+05,  3.320380142989318E+04,
2447763.625000000, A.D. 1989-Aug-25 03:00:00.0000, -1.415078600371660E+04,  6.925693946369871E+04,  3.430376945694321E+04,
2447763.666666667, A.D. 1989-Aug-25 04:00:00.0000,  1.680406667797447E+04, -1.071500251506923E+04,  2.190331663524129E+04,
